tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,Player1_entry,Player1_name,Player1_hand,Player1_ht,Player1_ioc,Player1_age,score,best_of,round,minutes,Player2_id,Player2_seed,Player2_entry,Player2_name,Player2_hand,Player2_ht,Player2_ioc,Player2_age,Player1_id,Player1_seed,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,Player2_rank,Player2_rank_points,Player1_rank,Player1_rank_points,Player2_streak,Player2_max_streak,y
2023-0807,Acapulco,Hard,32,A,20230227,271,,J J Wolf,R,183.0,USA,24.1,6-4 6-4,3,R32,106.0,106121,,Q,Taro Daniel,R,191.0,JPN,30.0,200670,,2.0,1.0,63.0,45.0,32.0,8.0,10.0,2.0,4.0,2.0,7.0,63.0,33.0,21.0,14.0,10.0,8.0,12.0,125.0,448.0,44.0,951.0,0,4,1
2020-0495,Dubai,Hard,32,A,20200224,272,,Ricardas Berankis,R,175.0,LTU,29.6,5-7 7-6(2) 6-3,3,R32,157.0,105932,,,Nikoloz Basilashvili,R,185.0,GEO,28.0,105575,,14.0,10.0,118.0,63.0,48.0,24.0,16.0,9.0,12.0,9.0,3.0,122.0,65.0,43.0,27.0,17.0,4.0,8.0,29.0,1440.0,62.0,841.0,0,6,0
2024-0322,Geneva,Clay,32,A,20240520,293,,Yannick Hanfmann,R,193.0,GER,32.5,6-3 6-3,3,R16,89.0,104925,1,,Novak Djokovic,R,188.0,SRB,36.9,105870,,3.0,2.0,68.0,45.0,32.0,12.0,9.0,10.0,11.0,3.0,0.0,50.0,42.0,24.0,3.0,9.0,5.0,9.0,1.0,9860.0,85.0,682.0,2,26,1
2021-8996,Santiago,Clay,32,A,20210308,300,,Facundo Bagnis,L,183.0,ARG,31.0,6-4 6-7(3) 7-5,3,F,155.0,106426,1,,Cristian Garin,R,185.0,CHI,24.7,105487,,14.0,2.0,105.0,68.0,48.0,22.0,17.0,6.0,8.0,8.0,6.0,106.0,59.0,41.0,25.0,17.0,4.0,8.0,22.0,2180.0,118.0,633.0,3,9,0
2022-0440,s Hertogenbosch,Grass,32,A,20220606,299,,Adrian Mannarino,L,183.0,FRA,33.9,7-5 7-5,3,SF,116.0,106421,1,,Daniil Medvedev,R,198.0,RUS,26.3,105173,,4.0,4.0,66.0,40.0,29.0,12.0,12.0,1.0,4.0,0.0,3.0,90.0,56.0,34.0,14.0,12.0,5.0,10.0,2.0,8160.0,70.0,858.0,2,16,0
2024-8998,Adelaide,Hard,32,A,20240108,273,Q,Adam Walton,U,,AUS,24.7,6-1 6-3,3,R32,70.0,208103,7,,Jiri Lehecka,R,185.0,CZE,22.1,200443,,9.0,3.0,51.0,25.0,21.0,14.0,8.0,4.0,4.0,4.0,0.0,51.0,35.0,23.0,3.0,8.0,5.0,9.0,32.0,1337.0,176.0,348.0,5,6,1
2024-M-DC-2024-WG2-PO-CYP-MAR-01,Davis Cup WG2 PO: CYP vs MAR,Hard,4,D,20240203,4,,Hamza Karmoussi,U,,MAR,,6-3 6-1,3,RR,60.0,210308,,,Stylianos Christodoulou,U,,CYP,19.2,127195,,7.0,1.0,50.0,37.0,29.0,6.0,8.0,3.0,3.0,0.0,3.0,49.0,30.0,14.0,9.0,8.0,2.0,6.0,1114.0,8.0,,,1,1,1
2021-7485,Antwerp,Hard,32,A,20211018,282,WC,Richard Gasquet,R,185.0,FRA,35.3,7-6(3) 6-1,3,R32,82.0,105583,8,,Dusan Lajovic,R,180.0,SRB,31.3,104755,,5.0,0.0,61.0,38.0,29.0,12.0,9.0,2.0,3.0,0.0,2.0,69.0,42.0,27.0,11.0,10.0,5.0,9.0,33.0,1556.0,73.0,921.0,0,5,0
2022-0451,Doha,Hard,32,A,20220214,288,,Botic Van De Zandschulp,R,188.0,NED,26.3,6-3 7-5,3,R16,102.0,105227,4,,Marin Cilic,R,198.0,CRO,33.3,122298,,6.0,0.0,73.0,43.0,30.0,18.0,11.0,5.0,6.0,5.0,3.0,69.0,48.0,33.0,7.0,10.0,8.0,11.0,24.0,1840.0,50.0,1149.0,0,7,0
2023-560,Us Open,Hard,128,G,20230828,127,,Marc Andrea Huesler,L,196.0,SUI,27.1,4-6 5-7 7-6(0) 6-3 6-1,5,R128,192.0,128034,17,,Hubert Hurkacz,R,196.0,POL,26.5,144817,,19.0,4.0,141.0,93.0,75.0,23.0,25.0,3.0,7.0,11.0,8.0,147.0,90.0,67.0,23.0,26.0,7.0,13.0,17.0,2035.0,97.0,604.0,4,9,1
2024-0403,Miami Masters,Hard,128,M,20240318,228,Q,Brandon Nakashima,R,185.0,USA,22.6,6-4 3-6 6-3,3,R128,132.0,126214,,,Alejandro Tabilo,L,188.0,CHI,26.7,206909,,13.0,2.0,98.0,71.0,51.0,9.0,14.0,6.0,9.0,12.0,1.0,82.0,55.0,38.0,12.0,14.0,4.0,8.0,44.0,1040.0,92.0,650.0,6,6,1
2023-0319,Kitzbuhel,Clay,32,A,20230731,293,Q,Guido Andreozzi,R,183.0,ARG,31.9,6-2 6-2,3,R16,75.0,144869,1,,Tomas Martin Etcheverry,R,196.0,ARG,24.0,105819,,2.0,0.0,39.0,26.0,21.0,10.0,8.0,1.0,2.0,1.0,7.0,51.0,31.0,15.0,6.0,8.0,5.0,10.0,34.0,1231.0,240.0,245.0,0,5,1
2023-580,Australian Open,Hard,128,G,20230116,218,,J J Wolf,R,183.0,USA,24.0,6-7(5) 6-2 6-7(4) 7-6(4) 6-2,5,R16,227.0,210097,,,Ben Shelton,L,,USA,20.2,200670,,23.0,1.0,158.0,107.0,88.0,35.0,26.0,2.0,2.0,19.0,2.0,162.0,105.0,84.0,30.0,26.0,5.0,9.0,89.0,604.0,67.0,758.0,0,8,1
2023-0416,Rome Masters,Clay,128,M,20230508,258,,Tommy Paul,R,185.0,USA,25.9,4-6 6-3 6-4,3,R64,160.0,106426,,,Cristian Garin,R,185.0,CHI,26.9,126205,16,1.0,3.0,99.0,73.0,43.0,15.0,15.0,7.0,12.0,4.0,4.0,102.0,58.0,33.0,22.0,14.0,6.0,12.0,79.0,723.0,17.0,2170.0,3,9,1
2020-580,Australian Open,Hard,128,G,20200120,178,,Nikoloz Basilashvili,R,185.0,GEO,27.9,4-6 7-6(5) 6-4 6-4,5,R64,169.0,104269,,,Fernando Verdasco,L,188.0,ESP,36.1,105932,26,13.0,3.0,128.0,88.0,68.0,22.0,21.0,8.0,11.0,4.0,8.0,139.0,86.0,64.0,25.0,21.0,7.0,11.0,51.0,1050.0,29.0,1485.0,0,4,0
2022-4140,Seoul,Hard,32,A,20220926,290,,Chun Hsin Tseng,R,175.0,TPE,21.1,7-6(5) 6-7(4) 6-2,3,R16,175.0,206499,,LL,Aleksandar Kovacevic,U,,USA,24.0,202358,,5.0,2.0,110.0,75.0,56.0,19.0,16.0,8.0,10.0,6.0,13.0,126.0,71.0,51.0,24.0,16.0,11.0,15.0,222.0,228.0,88.0,598.0,0,3,1
